food_id,nutrient_id,nutrient_value
2873,507,0.002
2873,508,0.003
2873,509,0.002
2873,510,0.003
2873,511,0.001
2873,512,0.002
2873,513,0.003
2873,514,0.005
2873,515,0.02
2873,516,0.004
2873,517,0.004
2873,518,0.001
2873,601,0
2873,605,0
2873,606,0.002
2873,607,0
2873,608,0
2873,609,0
2873,610,0
2873,611,0
2873,612,0
2873,613,0.002
2873,614,0
2873,615,0
2873,617,0
2873,618,0.001
2873,619,0
2873,620,0
2873,621,0
2873,624,0
2873,625,0
2873,626,0
2873,627,0
2873,628,0
2873,629,0
2873,630,0
2873,631,0
2873,645,0.015
2873,646,0.001
2873,652,0
2873,653,0
2873,654,0
2873,802,0
2873,803,0
2873,806,2
2873,810,0
2873,811,0
2873,812,0.01
2873,813,0
2873,814,0
2873,815,2
2873,818,0
2873,823,0
2873,824,0.015
2873,826,0
2873,827,0
2873,829,0
2873,830,0
2873,831,0
2873,832,0
2873,833,0
2873,834,0
2873,835,0
2873,836,0
2873,837,0
2873,854,0
2873,861,0
2873,862,2.6
2880,203,5.29
2880,204,15.87
2880,205,74.04
2880,207,3.1
2880,208,460
2880,221,0
2880,255,1.7
2880,262,360
2880,263,294
2880,268,1925
2880,269,58.2
2880,291,1.9
2880,301,271
2880,303,0
2880,304,68
2880,305,251
2880,306,1033
2880,307,317
2880,309,0.96
2880,312,0.435
2880,315,0.445
2880,317,6.2
2880,319,0
2880,321,2
2880,323,0
2880,324,0
2880,339,0
2880,401,0.6
2880,404,0.031
2880,405,0.028
2880,406,2.263
2880,409,3.046
2880,410,0.052
2880,415,0.055
2880,417,9
2880,418,0.45
2880,430,1.5
2880,431,0
2880,501,0.047
2880,502,0.121
2880,503,0.12
2880,504,0.208
2880,505,0.146
2880,506,0.026
2880,507,0.051
2880,508,0.156
2880,509,0.12
2880,510,0.186
2880,511,0.158
2880,512,0.062
2880,513,0.148
2880,514,0.315
2880,515,0.575
2880,516,0.161
2880,517,0.139
2880,518,0.122
2880,601,0
2880,606,4.934
2880,607,0.003
2880,608,0.001
2880,609,0.162
2880,610,0.179
2880,611,1.647
2880,612,0.737
2880,613,0.929
2880,614,1.276
2880,617,8.899
2880,618,0.995
2880,619,0.058
2880,620,0
2880,621,0
2880,626,0.034
2880,627,0
2880,628,0.002
2880,629,0
2880,630,0
2880,631,0
2880,645,8.934
2880,646,1.053
2880,806,9
2880,814,1
2880,815,9
2880,831,0.089
2880,832,0
2880,834,0
2880,835,0
2880,836,0
2880,837,4
2880,854,0
2880,861,0
2880,862,31.3
2885,203,0.2
2885,204,0
2885,205,16.2
2885,207,0.1
2885,208,64
2885,221,0
2885,255,83.5
2885,262,0
2885,263,0
2885,268,268
2885,291,0.1
2885,301,9
2885,303,0.15
2885,304,3
2885,305,5
2885,306,61
2885,307,2
2885,309,0.04
2885,312,0.015
2885,315,0.125
2885,317,0
2885,319,0
2885,321,276
2885,323,0
2885,324,0
2885,339,0
2885,401,0
2885,404,0.005
2885,405,0.01
2885,406,0.12
2885,409,0.157
2885,410,0.036
2885,415,0.02
2885,417,1
2885,418,0
2885,431,0
2885,601,0
2885,605,0
2885,606,0
2885,607,0
2885,608,0
2885,609,0
2885,610,0
2885,611,0
2885,612,0
2885,613,0
2885,614,0
2885,615,0
2885,617,0
2885,618,0
2885,619,0
2885,620,0
2885,621,0
2885,624,0
2885,625,0
2885,626,0
2885,627,0
2885,628,0
2885,629,0
2885,630,0
2885,631,0
2885,636,0
2885,638,0
2885,645,0
2885,646,0
2885,652,0
2885,653,0
2885,654,0
2885,806,1
2885,814,23
2885,815,1
2885,816,0
2885,817,0
2885,818,0
2885,819,0
2885,820,0
2885,821,0
2885,823,0
2885,824,0
2885,825,0
2885,826,0
2885,827,0
2885,829,0
2885,830,0
2885,831,0
2885,832,0
2885,833,0
2885,838,0
2885,840,0
2885,841,0
2885,843,0
2885,845,0
2885,846,0
2885,847,0
2885,848,0
2885,849,0
2885,852,0
2885,853,0
2885,854,0
2885,855,0
2885,859,0
2885,861,0
2885,866,0
2885,868,0
2885,869,0
5573,203,1.4
5573,204,0.2
5573,205,13.6
5573,207,0.5
5573,208,62
5573,221,0
5573,255,84.3
5573,262,0
5573,263,0
5573,268,259
5573,269,0.59
5573,291,2.4
5573,301,5
5573,303,1.26
5573,304,14
5573,305,28
5573,306,229
5573,307,5
5573,309,0.28
5573,312,0.057
5573,315,0.12
5573,317,0.9
5573,319,0
5573,321,1
5573,323,0.05
5573,324,0
5573,339,0
5573,401,5.1
5573,404,0.07
5573,405,0.01
5573,406,0.92
5573,409,1.177
5573,410,0.245
5573,415,0.19
5573,417,6
5573,418,0
5573,430,1.5
5573,431,0
5573,601,0
5573,606,0.051
5573,607,0
5573,608,0
5573,609,0
5573,610,0.001
5573,611,0.007
5573,612,0.001
5573,613,0.031
5573,614,0.007
5573,617,0.002
5573,618,0.063
5573,619,0.02
5573,620,0
5573,621,0
5573,626,0.002
5573,627,0
5573,628,0
5573,629,0
5573,630,0
5573,631,0
5573,645,0.005
5573,646,0.085
5573,806,6
5573,814,0
5573,815,6
5573,831,0.02
5573,832,0
5573,834,0
5573,835,0
5573,836,0
5573,837,6
5573,840,0
5573,852,0
5573,854,0
5573,855,0
5573,861,0
5573,862,9.2
5573,863,0.1
5574,203,1.4
5574,204,0.2
5574,205,7.31
5574,207,0.89
5574,208,37
5574,221,0
5574,255,90.2
5574,262,0
5574,263,0
5574,268,153
5574,269,2.41
5574,291,3.1
5574,301,21
5574,303,0.65
5574,304,15
5574,305,37
5574,306,138
5574,307,26
5574,309,0.51
5574,312,0.104
5574,317,0.3
5574,319,0
5574,321,5670
5574,323,0.29
5574,324,0
5574,339,0
5574,401,3.8
5574,404,0.03
5574,405,0.04
5574,406,0.48
5574,409,0.737
5574,415,0.08
5574,417,18
5574,418,0
5574,430,18.2
5574,431,0
5574,601,0
5574,606,0.039
5574,607,0
5574,608,0
5574,609,0
5574,610,0
5574,611,0.001
5574,612,0
5574,613,0.033
5574,614,0.004
5574,617,0.022
5574,618,0.071
5574,619,0.027
5574,620,0
5574,621,0
5574,626,0.001
5574,627,0
5574,628,0
5574,629,0
5574,630,0
5574,631,0
5574,645,0.022
5574,646,0.098
5574,806,18
5574,814,583
5574,815,18
5574,831,0.027
5574,832,0
5574,834,2636
5574,835,5
5574,836,0
5574,837,493
5574,840,0
5574,852,0
5574,854,0
5574,855,0
5574,861,0
5574,862,18.6
5575,203,22
5575,204,7.7
5575,205,0.5
5575,207,4
5575,208,165
5575,221,0
5575,255,65.8
5575,262,0
5575,263,0
5575,268,690
5575,269,0
5575,291,0
5575,301,8
5575,303,1.4
5575,304,19
5575,305,248
5575,306,362
5575,307,969
5575,309,2.63
5575,312,0.119
5575,317,19.5
5575,319,0
5575,321,0
5575,323,0.28
5575,324,32
5575,339,0.8
5575,401,0
5575,404,0.74
5575,405,0.28
5575,406,5.32
5575,409,9.353
5575,415,0.35
5575,417,3
5575,418,0.68
5575,430,0
5575,431,0
5575,601,57
5575,606,2.624
5575,607,0
5575,608,0
5575,609,0
5575,610,0.03
5575,611,0.02
5575,612,0.131
5575,613,1.578
5575,614,0.865
5575,617,3.388
5575,618,0.905
5575,619,0.171
5575,620,0
5575,621,0
5575,626,0.372
5575,627,0
5575,628,0
5575,629,0
5575,630,0
5575,631,0
5575,645,3.76
5575,646,1.076
5575,806,3
5575,814,0
5575,815,3
5575,831,0.171
5575,832,0
5575,834,0
5575,835,0
5575,836,0
5575,837,0
5575,840,0
5575,852,0
5575,854,0
5575,855,0
5575,861,0
5575,862,86
5575,863,5.8
5580,203,41.6
5580,204,29.99
5580,205,3.7
5580,207,2.51
5580,208,451
